original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,1000,1000,1000,1000,1000,1000,60,Fmajor,60,Cmajor
-1000,1000,1000,1000,1000,1000,1000,60,Fmajor,60,Cmajor
-1000,1000,1000,1000,1000,1000,1000,60,Cother,60,Cmajor
55,Cmajor,55,60,55,55,55,59,Gmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
60,Fmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
59,Gmajor,60,59,62,59,59,60,Dminor,60,Cmajor
57,Dminor,60,57,62,57,57,59,Gmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
60,Cother,59,60,60,59,60,60,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,60,Fmajor
60,Aminor,60,60,60,60,60,60,Cmajor,57,Fmajor
60,Cmajor,60,60,60,60,60,60,Fmajor,55,Cmajor
59,Gmajor,59,59,59,59,59,60,Fmajor,52,Aminor
62,Dminor,60,57,62,62,62,1000,Fmajor,1000,Dminor
59,Gmajor,59,59,59,59,59,60,Fmajor,67,Ediminished
60,Aminor,55,60,57,57,57,60,Fmajor,60,Fmajor
60,Dminor,59,57,57,60,60,59,Cmajor,55,Cmajor
55,Cmajor,55,60,55,55,55
