original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
64,Cmajor,60,60,60,64,64,60,Fmajor,64,Cmajor
62,Dminor,60,57,62,62,62,67,Cmajor,67,Cmajor
60,Fmajor,60,60,60,60,60,64,Cmajor,67,Aminor
-62,Gmajor,62,59,62,62,62,67,Cmajor,62,Dmajor
64,Aminor,64,60,64,60,60,60,Fmajor,62,Gmajor
-64,Cmajor,64,60,67,64,64,62,Gmajor,64,Aminor
62,Gmajor,62,59,62,62,62,62,Gmajor,65,Dminor
-62,Gmajor,62,59,62,62,62,67,Cmajor,62,Gmajor
62,Dminor,60,57,65,60,62,67,Cmajor,64,Cmajor
60,Cmajor,64,60,67,67,67,62,Gmajor,62,Gmajor
62,Gmajor,60,59,62,62,62,72,Cmajor,65,Gmajor
60,Cmajor,60,60,60,60,60,62,Gmajor,62,Gmajor
60,Fmajor,60,60,60,60,60,60,Fmajor,55,Cmajor
60,Cmajor,60,60,60,60,60,55,Gmajor,55,Gmajor
60,Aminor,59,60,60,60,60,59,Cmajor,60,Cmajor
55,Cmajor,55,60,55,55,55,60,Cmajor,60,Cmajor
64,Cmajor,60,60,60,64,64,60,Cmajor,60,Cother
62,Dminor,60,57,62,62,62,60,Cmajor,74,Gmajor
60,Fmajor,60,60,60,60,60,60,Cmajor,67,Gmajor
-62,Gmajor,62,59,62,62,62,64,Gmajor,67,Aminor
64,Aminor,64,60,64,60,60,62,Gmajor,67,Aminor
-64,Cmajor,64,60,67,64,64,67,Cmajor,67,Gmajor
62,Gmajor,62,59,62,62,62,60,Fmajor,74,Cmajor
-62,Gmajor,62,59,62,62,62,64,Gmajor,64,Gmajor
62,Dminor,60,57,65,60,62,67,Cmajor,60,Cmajor
60,Cmajor,64,60,67,67,67,67,Cmajor,60,Cmajor
62,Gmajor,60,59,62,62,62,60,Fmajor,60,Fmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,55,Cmajor
60,Fmajor,60,60,60,60,60,60,Cmajor,55,Cother
60,Cmajor,60,60,60,60,60,55,Gmajor,55,Gmajor
60,Aminor,59,60,60,60,60,59,Cmajor,60,Cmajor
55,Cmajor,55,60,55,55,55,60,Cmajor,60,Cmajor
57,Amajor,60,64,61,55,55,60,Cmajor,62,Gmajor
-64,Dmajor,57,62,57,62,62,60,Cmajor,62,Cmajor
64,Emajor,64,59,64,64,64,60,Cmajor,64,Cmajor
64,Fmajor,60,60,60,60,60,64,Gmajor,65,Dminor
64,Aminor,64,60,64,64,64,62,Gmajor,67,Aminor
64,Emajor,62,59,68,64,64,67,Cmajor,62,Gmajor
64,Aminor,60,60,64,64,64,60,Fmajor,74,Cmajor
-64,Aminor,60,60,64,64,64,64,Gmajor,64,Gmajor
65,Bdiminished,62,59,65,65,65,67,Cmajor,60,Cmajor
67,Cmajor,64,60,67,67,67,67,Cmajor,60,Cmajor
67,Cother,67,60,67,67,67,60,Fmajor,60,Fmajor
67,Cmajor,67,60,67,67,67,60,Cmajor,60,Fmajor
69,Dminor,67,57,65,69,69,60,Fmajor,60,Fmajor
67,Gmajor,67,59,67,67,67,64,Cmajor,67,Gmajor
64,Cmajor,64,60,67,64,64
