original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,1000,1000,1000,1000,1000,1000,60,Fmajor,65,Fmajor
-1000,1000,1000,1000,1000,1000,1000,64,Gmajor,67,Cmajor
-1000,1000,1000,1000,1000,1000,1000,64,Cmajor,67,Gmajor
67,Cmajor,67,60,67,67,67,64,Cmajor,67,Gmajor
67,Cmajor,67,60,67,67,67,64,Cmajor,64,Cmajor
64,Cmajor,64,60,67,64,64,60,Fmajor,67,Gmajor
65,Dminor,67,57,65,65,65,72,Cmajor,67,Gmajor
67,Ediminished,67,58,67,67,67,67,Cmajor,64,Aminor
69,Fmajor,69,60,69,69,69,60,Fmajor,65,Gmajor
-69,Fmajor,69,60,69,69,69,60,Fmajor,64,Cmajor
65,B-major,67,62,65,65,65,67,Cmajor,60,Cmajor
65,B-major,67,62,65,65,65,67,Cmajor,60,Cmajor
64,Emajor,67,59,64,64,64,64,Cmajor,64,Cmajor
64,Aminor,64,60,64,64,64,64,Cmajor,62,Gmajor
62,Dmajor,64,62,62,62,62,65,Dminor,59,Cmajor
67,Gmajor,62,59,62,67,67,60,Fmajor,55,Gmajor
67,Cmajor,64,60,67,67,67,72,Cmajor,72,Cmajor
-67,Cmajor,64,60,67,67,67,67,Cmajor,67,Cmajor
-67,Cmajor,64,60,67,67,67,60,Fmajor,69,Dminor
67,Gmajor,67,59,67,67,67,60,Fmajor,72,Cmajor
62,Dmajor,67,62,69,62,62,67,Cmajor,67,Cmajor
66,Dmajor,67,62,69,66,66,67,Gmajor,67,Gmajor
67,Gmajor,67,59,67,67,67,72,Cmajor,67,Gmajor
68,Emajor,67,59,71,68,68,67,Cmajor,64,Aminor
69,Aminor,64,60,64,64,64,60,Fmajor,65,Gmajor
-69,Aminor,64,60,64,69,69,60,Fmajor,64,Cmajor
69,Aminor,64,60,64,69,69,67,Cmajor,60,Cmajor
64,Aminor,64,60,64,64,64,67,Cmajor,60,Cmajor
62,Bdiminished,62,59,65,62,62,64,Cmajor,64,Cmajor
64,Cmajor,64,60,67,64,64,64,Cmajor,62,Gmajor
65,Dminor,67,57,65,67,65,65,Dminor,59,Cmajor
67,Gmajor,67,59,67,67,67,60,Fmajor,55,Gmajor
64,Cmajor,64,60,67,64,64,72,Cmajor,72,Cmajor
-64,Cmajor,64,60,67,64,64,67,Cmajor,67,Cmajor
-64,Cmajor,64,60,67,64,64,60,Fmajor,69,Dminor
67,Cmajor,67,60,67,67,67,60,Fmajor,72,Cmajor
67,Cmajor,67,60,67,67,67,67,Cmajor,67,Cmajor
64,Cmajor,64,60,67,64,64,67,Gmajor,67,Gmajor
65,Dminor,67,57,65,65,65,72,Cmajor,67,Gmajor
67,Ediminished,67,58,67,67,67,67,Cmajor,64,Aminor
69,Fmajor,69,60,69,69,69,60,Fmajor,65,Gmajor
-69,Fmajor,69,60,69,69,69,60,Fmajor,64,Cmajor
65,B-major,67,62,65,65,65,67,Cmajor,67,Cmajor
65,B-major,67,62,65,65,65,67,Cmajor,67,Cmajor
64,Emajor,67,59,64,64,64,64,Gmajor,67,Cmajor
64,Aminor,64,60,64,64,64,64,Gmajor,67,Cmajor
62,Dmajor,64,62,62,62,62,67,Cmajor,67,Cmajor
67,Gmajor,62,59,62,67,67,67,Cmajor,67,Gmajor
67,Cmajor,64,60,67,67,67,67,Cmajor,62,Gmajor
-67,Cmajor,64,60,67,67,67,67,Cmajor,62,Emajor
-67,Cmajor,64,60,67,67,67,67,Cmajor,65,Bdiminished
67,Gmajor,67,59,67,67,67,67,Cmajor,67,Cmajor
62,Dmajor,67,62,69,62,62,60,Fmajor,65,Fmajor
66,Dmajor,67,62,69,66,66,64,Gmajor,67,Cmajor
67,Gmajor,67,59,67,67,67,67,Cmajor,67,Cmajor
68,Emajor,67,59,71,68,68,67,Cmajor,67,Gmajor
69,Aminor,64,60,64,64,64,67,Cmajor,62,Gmajor
-69,Aminor,64,60,64,69,69,67,Cmajor,62,Emajor
69,Aminor,64,60,64,69,69,67,Cmajor,65,Bdiminished
64,Aminor,64,60,64,64,64,67,Cmajor,67,Cmajor
62,Bdiminished,62,59,65,62,62,60,Fmajor,65,Fmajor
64,Cmajor,64,60,67,64,64,64,Gmajor,67,Cmajor
65,Dminor,67,57,65,67,65,67,Cmajor,67,Cmajor
67,Gmajor,67,59,67,67,67,64,Cmajor,67,Gmajor
64,Cmajor,64,60,67,64,64,64,Cmajor,67,Gmajor
-64,Cmajor,64,60,67,64,64,60,Fmajor,64,Cmajor
-64,Cmajor,64,60,67,64,64,67,Cmajor,67,Cmajor
62,Gmajor,62,59,62,62,62,60,Fmajor,65,Fmajor
67,Gmajor,62,59,62,67,67,64,Gmajor,67,Cmajor
67,Gmajor,62,59,62,67,67,64,Gmajor,67,Cmajor
67,Eminor,62,59,67,68,67,67,Cmajor,67,Cmajor
67,Gmajor,62,59,62,67,67,67,Cmajor,67,Cmajor
67,Cmajor,64,60,67,67,67,64,Cmajor,64,Cmajor
-67,Cmajor,64,60,67,67,67,64,Cmajor,67,Gmajor
67,Cmajor,64,60,67,67,67,64,Cmajor,67,Gmajor
62,Gmajor,62,59,62,62,62,64,Cmajor,64,Cmajor
67,Gmajor,62,59,62,67,67,60,Fmajor,63,F#diminished
67,Gmajor,62,59,62,67,67,64,Gmajor,64,Gmajor
67,Eminor,62,59,67,68,67,67,Cmajor,67,Cmajor
67,Gmajor,62,59,62,67,67,67,Cmajor,67,Cmajor
67,Cmajor,64,60,67,67,67,60,Fmajor,65,Fmajor
