original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
64,Cmajor,60,60,60,64,64,59,Cmajor,60,Cmajor
64,Cmajor,60,60,60,64,64,60,Cmajor,65,Fmajor
60,Fmajor,60,60,60,60,60,62,Gmajor,65,Dminor
62,Bdiminished,60,59,62,62,62,60,Cmajor,62,Gmajor
65,Bdiminished,62,59,65,65,65,60,Cmajor,64,Cmajor
67,Eminor,62,59,67,67,67,60,Fmajor,67,Cmajor
64,Cmajor,64,60,67,64,64,64,Gmajor,67,Cmajor
-64,Cmajor,64,60,67,64,64,67,Cmajor,67,Gmajor
67,Gmajor,67,59,67,67,67,67,Cmajor,67,Cmajor
67,Gmajor,67,59,67,67,67,62,Gmajor,60,Fmajor
64,Aminor,64,60,64,64,64,62,Gmajor,60,Fmajor
62,Dmajor,64,62,62,62,62,60,Cmajor,59,Gmajor
62,Gmajor,62,59,62,62,62,60,Cmajor,57,Aminor
64,Aminor,60,60,64,64,64,55,Cmajor,55,Cmajor
62,Gother,60,67,67,60,62,60,Fmajor,57,Fmajor
-62,Dmajor,60,62,62,62,62,59,Gmajor,60,Cmajor
59,Gmajor,60,59,62,59,59,59,Cmajor,59,Cmajor
-59,Gmajor,60,59,62,59,59,59,Cmajor,57,Dminor
60,Cmajor,60,60,60,60,60,60,Cmajor,62,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,62,Gmajor
60,Fmajor,60,60,60,60,60,60,Cother,60,Cmajor
65,Dminor,60,57,65,65,65,62,Gmajor,60,Cmajor
65,Gmajor,60,59,62,65,65,60,Cmajor,60,Cmajor
64,Dminor,60,57,62,62,62,60,Cmajor,60,Cmajor
61,Amajor,60,64,61,60,61,60,Cmajor,60,Cmajor
-61,Amajor,60,64,61,60,61,60,Cmajor,60,Cmajor
59,Eminor,60,59,59,60,59,60,Cmajor,64,Cmajor
64,Cmajor,60,60,60,60,60,62,Gmajor,62,Dminor
60,Fmajor,60,60,60,60,60,62,Gmajor,65,Dminor
60,Fmajor,60,60,60,60,60,62,Gmajor,62,Gmajor
64,Cmajor,60,60,60,60,60,60,Cmajor,64,Cmajor
60,Dminor,59,57,57,60,60,60,Cmajor,64,Cmajor
60,Cother,59,60,60,59,60,60,Cmajor,65,Dminor
59,Gmajor,59,59,59,59,59,62,Gmajor,67,Eminor
55,Cmajor,55,60,55,55,55,62,Gmajor,67,Aminor
-55,Cmajor,55,60,55,55,55,62,Gmajor,66,Dmajor
60,Cmajor,60,60,60,60,60,67,Cmajor,67,Gmajor
60,Cmajor,60,60,60,60,60,60,Fmajor,67,Cmajor
60,Fmajor,60,60,60,60,60,64,Gmajor,62,Cother
62,Dminor,60,57,65,60,62,64,Cmajor,62,Cmajor
65,Bdiminished,62,59,65,65,65,64,Cmajor,48,Fmajor
64,Aother,62,64,64,64,64,60,Fmajor,64,Gmajor
64,Aminor,64,60,64,64,64,64,Gmajor,67,Cmajor
-64,Aminor,64,60,64,64,64,67,Cmajor,67,Gmajor
64,Cmajor,60,60,60,64,64,67,Cmajor,67,Cmajor
67,Cmajor,60,60,60,64,64,62,Gmajor,65,Fmajor
65,Fmajor,60,60,60,65,65,62,Gmajor,65,Dminor
60,Fmajor,60,60,60,60,60,60,Cmajor,62,Gmajor
60,Dminor,59,57,57,60,60,60,Cmajor,60,Cmajor
59,Gmajor,59,59,59,59,59,59,Cmajor,60,Cmajor
55,Cmajor,55,60,55,55,55
