original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,1000,1000,1000,1000,1000,1000,64,Gmajor,65,Fmajor
-1000,1000,1000,1000,1000,1000,1000,67,Cmajor,67,Cmajor
-1000,1000,1000,1000,1000,1000,1000,67,Cmajor,62,Bdiminished
60,Cmajor,60,60,60,60,60,60,Cmajor,57,Fmajor
60,Fmajor,60,60,60,60,60,59,Gmajor,59,Gmajor
64,Cmajor,60,60,60,64,64,59,Cmajor,60,Cmajor
57,Fmajor,60,60,60,57,57,60,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
60,Dminor,59,57,57,60,60,60,Cmajor,60,Cmajor
59,Gmajor,59,59,59,59,59,60,Fmajor,57,Fmajor
60,Cmajor,60,60,60,60,60,60,Fmajor,55,Cmajor
68,Emajor,62,59,68,68,68,1000,Fmajor,1000,Dminor
69,Aminor,64,60,64,69,69,60,Fmajor,67,Ediminished
69,Fmajor,64,60,65,69,69,60,Fmajor,60,Fmajor
69,Bdiminished,62,59,65,69,69,67,Cmajor,67,Gmajor
68,Emajor,62,59,68,68,68
