original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,1000,1000,1000,1000,1000,1000,67,Cmajor,65,Fmajor
-1000,1000,1000,1000,1000,1000,1000,67,Cmajor,67,Cmajor
-1000,1000,1000,1000,1000,1000,1000,60,Fmajor,64,Cmajor
64,Aminor,60,60,64,64,64,60,Fmajor,67,Cmajor
64,Aminor,60,60,64,64,64,67,Cmajor,64,Cmajor
67,Cmajor,64,60,67,67,67,60,Cmajor,60,Cmajor
67,Gmajor,62,59,62,67,67,60,Fmajor,74,Cother
64,Aminor,60,60,64,64,64,64,Gmajor,64,Gmajor
69,Fmajor,64,60,65,65,65,67,Cmajor,64,Cmajor
65,Dminor,67,57,65,66,65,64,Cmajor,64,Cmajor
67,Cmajor,67,60,67,67,67,60,Fmajor,64,Cmajor
67,Cmajor,67,60,67,67,67,67,Cmajor,72,Cmajor
67,Cmajor,67,60,67,67,67,60,Fmajor,67,Cmajor
69,Aminor,67,60,69,69,69,60,Fmajor,67,Cmajor
71,Gmajor,67,59,67,71,71,60,Fmajor,67,Cmajor
72,Aminor,67,60,69,69,69,60,Fmajor,65,Gmajor
72,Dminor,67,57,65,72,72,60,Fmajor,64,Cmajor
71,Gmajor,67,59,67,71,71,67,Cmajor,62,Gmajor
67,Cmajor,64,60,67,67,67,64,Cmajor,64,Cmajor
69,Aminor,64,60,64,69,69,60,Fmajor,69,Fmajor
69,Fmajor,64,60,65,69,69,67,Cmajor,67,Cmajor
72,Cmajor,67,60,67,72,72,64,Gmajor,67,Cmajor
72,Cother,67,60,67,71,72,64,Gmajor,67,Cmajor
67,Gmajor,62,59,62,67,67,64,Cmajor,67,Gmajor
67,Cmajor,64,60,67,67,67,64,Cmajor,64,Cmajor
67,Cother,67,60,67,67,67,60,Fmajor,72,Cmajor
67,Cmajor,67,60,67,67,67,72,Cmajor,67,Cmajor
67,Cmajor,67,60,67,67,67,67,Cmajor,67,Cmajor
67,Cmajor,67,60,67,67,67,67,Cmajor,67,Cmajor
67,Cmajor,67,60,67,67,67,67,Cmajor,59,Gmajor
67,Cother,67,60,67,67,67,67,Cmajor,60,Cmajor
64,Emajor,67,59,64,64,64,64,Cmajor,64,Cmajor
64,Aminor,64,60,64,64,64,67,Cmajor,65,Dminor
66,D#diminished,64,66,66,66,66,62,Gmajor,65,Dminor
64,Eminor,60,59,59,64,64,67,Cmajor,62,Gmajor
64,Cmajor,60,60,60,64,64,67,Cmajor,64,Cmajor
69,Aminor,64,60,64,69,69,60,Fmajor,57,Fmajor
72,Aminor,67,60,69,69,69,60,Fmajor,72,Cmajor
72,Dmajor,67,62,69,62,62,1000,Fmajor,1000,Dminor
71,Emajor,67,59,71,71,71,60,Fmajor,67,Ediminished
71,Aminor,64,60,64,69,69,60,Fmajor,60,Fmajor
-69,Aother,62,64,64,67,69,67,Cmajor,67,Gmajor
64,Aminor,60,60,64,64,64
