original,original_chord,simple2,simple3,simple1,simple7,simple6
-1000,1000,1000,1000,1000,1000,1000
-1000,1000,1000,1000,1000,1000,1000
-1000,1000,1000,1000,1000,1000,1000
55,Cmajor,55,60,55,55,55
60,Cmajor,60,60,60,60,60
62,Gmajor,59,59,59,62,62
60,Cmajor,60,60,60,60,60
60,Fmajor,60,60,60,60,60
59,Gmajor,60,59,62,59,59
62,Gmajor,60,59,62,62,62
60,Cmajor,60,60,60,60,60
60,Fmajor,60,60,60,60,60
60,Cmajor,60,60,60,60,60
-60,Dminor,60,57,62,62,62
60,Cmajor,60,60,60,60,60
-60,Cother,59,60,60,59,60
60,Cmajor,60,60,60,60,60
-60,Cmajor,60,60,60,60,60
-60,Cmajor,60,60,60,60,60
64,Cmajor,60,60,60,64,64
64,F#diminished,60,60,64,64,64
62,Gmajor,62,59,62,62,62
64,Aminor,64,60,64,64,64
64,Eminor,62,59,67,64,64
64,Aminor,60,60,64,64,64
62,Dmajor,60,62,62,62,62
62,Gmajor,60,59,62,62,62
60,Cmajor,60,60,60,60,60
60,Dminor,60,57,62,60,60
60,Cmajor,60,60,60,60,60
60,Dminor,59,57,57,60,60
59,Gmajor,59,59,59,59,59
55,Cmajor,55,60,55,55,55
