original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi8,viterbi8_chords
55,Cmajor,55,60,55,55,55,55,Cmajor
52,Cmajor,55,60,55,60,60,55,Cmajor
55,Cmajor,55,60,55,55,55,55,Cmajor
55,Cmajor,50,60,52,55,55,60,Cmajor
57,Aminor,55,60,57,57,57,60,Cmajor
-60,Dminor,59,57,57,60,60,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor
-60,Cmajor,60,60,60,60,60,59,Gmajor
55,Cmajor,55,60,55,55,55,60,Cmajor
55,Cmajor,60,60,60,55,55,60,Cmajor
59,Gmajor,60,59,62,62,62,60,Cmajor
62,Gmajor,62,59,62,62,62,60,Cmajor
64,Aminor,60,60,64,64,64,60,Dminor
57,Dmajor,60,62,62,62,62,59,Gmajor
59,Gmajor,60,59,62,59,59,60,Cmajor
-59,Gmajor,60,59,62,59,59,60,Cmajor
55,Cmajor,55,60,55,55,55,60,Cmajor
52,Cmajor,55,60,55,60,60,62,Gmajor
55,Cmajor,55,60,55,55,55,60,Cmajor
55,Cmajor,50,60,52,55,55,55,Cmajor
57,Aminor,55,60,57,57,57,57,Dminor
-60,Dminor,59,57,57,60,60,59,Gmajor
60,Cmajor,60,60,60,60,60,59,Cmajor
-60,Cmajor,60,60,60,60,60,60,Cmajor
55,Cmajor,55,60,55,55,55,60,Cmajor
55,Cmajor,60,60,60,55,55,60,Cmajor
59,Gmajor,60,59,62,62,62,60,Cmajor
62,Gmajor,62,59,62,62,62,60,Cmajor
64,Aminor,60,60,64,64,64,60,Cmajor
57,Dmajor,60,62,62,62,62,60,Fmajor
59,Gmajor,60,59,62,59,59,60,Aminor
-59,Gmajor,60,59,62,59,59,62,Dmajor
60,Fmajor,60,60,60,60,60,62,Gmajor
59,Gmajor,60,59,62,59,59,62,Gmajor
62,Dminor,60,57,62,62,62,67,Gmajor
57,Dminor,60,57,65,62,62,67,Aminor
62,Gminor,60,62,62,55,55,67,Aminor
62,B-major,60,62,62,62,62,67,Gmajor
62,Ediminished,60,58,62,62,62,60,Cmajor
61,Amajor,60,64,61,60,61,57,Fmajor
57,Dminor,59,57,57,57,57,55,Cmajor
-57,Dminor,59,57,57,57,57,55,Cmajor
57,Dminor,59,57,57,57,57,55,Cmajor
57,Amajor,57,64,57,57,57,55,Cmajor
57,Dminor,59,57,57,57,57,57,Fmajor
57,Dother,60,62,62,57,57,50,Gmajor
57,Dminor,60,57,62,57,57,55,Cmajor
57,Dminor,60,57,62,57,57,55,Cmajor
57,Dother,60,62,62,57,57,57,Fmajor
-57,Amajor,60,64,61,57,57,62,Gmajor
57,Aminor,55,60,57,57,57,67,Gmajor
57,B-major,59,62,58,53,53,67,Aminor
55,Cmajor,60,60,60,55,55,67,Aminor
-60,Dminor,60,57,62,57,57,67,Gmajor
62,Gminor,60,62,62,62,62,60,Cmajor
60,Cmajor,60,60,60,60,60,57,Fmajor
60,Fmajor,60,60,60,60,60,55,Cmajor
-60,Fmajor,60,60,60,60,60,55,Cmajor
60,Cmajor,60,60,60,60,60,55,Cmajor
59,Gmajor,60,59,62,59,59,55,Cmajor
55,Cmajor,60,60,60,55,55,55,Cmajor
55,Cother,59,60,60,55,55,55,Cmajor
57,Aminor,55,60,57,57,57,55,Gmajor
60,Cmajor,60,60,60,60,60,55,Gmajor
60,Dminor,59,57,57,60,60,55,Cmajor
59,Gmajor,59,59,59,59,59,55,Cmajor
55,Cmajor,55,60,55,55,55
