original,original_chord,simple1,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,1000,1000,1000,59,Cmajor,60,Cmajor
-1000,1000,1000,1000,60,Cmajor,60,Cmajor
-1000,1000,1000,1000,60,Cmajor,60,Cmajor
52,Cmajor,55,52,60,Cmajor,60,Cmajor
55,Cmajor,52,55,60,Dminor,55,Cmajor
50,Bminor,50,50,59,Gmajor,55,Cmajor
50,Emajor,56,59,55,Cmajor,57,Fmajor
48,Aminor,57,57,50,Gmajor,52,Cmajor
55,Gmajor,59,55,52,Cmajor,52,Cmajor
55,Cmajor,60,55,53,Fmajor,59,Bdiminished
53,Fmajor,57,53,55,Cmajor,55,Cmajor
55,Cmajor,60,55,52,Cmajor,53,Bdiminished
55,Eminor,59,55,60,Fmajor,53,Fmajor
55,Cother,62,55,60,Cmajor,55,Cmajor
55,Cmajor,60,55,60,Cmajor,55,Cmajor
57,Amajor,57,57,59,Gmajor,55,Gmajor
57,Dminor,62,57,55,Cmajor,55,Cmajor
57,Dminor,62,60,60,Cmajor,55,Cmajor
60,Aminor,60,60,60,Cmajor,55,Cmajor
60,Cmajor,60,60,55,Gmajor,55,Gmajor
62,Dminor,62,62,59,Cmajor,60,Cmajor
60,Cmajor,60,60,60,Cmajor,60,Cmajor
59,Bdiminished,59,59,60,Cmajor,60,Cmajor
57,Aminor,57,57,60,Cmajor,60,Cmajor
57,Aminor,60,57,60,Cmajor,60,Cmajor
-57,Aother,57,57,60,Cmajor,62,Gmajor
52,Aminor,57,52,60,Cmajor,60,Cmajor
57,Aminor,60,57,60,Cmajor,60,Cmajor
55,Gmajor,62,62,60,Dminor,55,Cmajor
59,Gmajor,62,59,62,Gmajor,55,Gmajor
60,Cmajor,60,60,60,Cmajor,57,Aminor
-60,Cmajor,60,60,60,Cmajor,57,Fmajor
60,Dminor,62,62,55,Cmajor,55,Cmajor
59,Gmajor,62,59,60,Cmajor,55,Cmajor
60,Cmajor,60,60,60,Cmajor,55,Cmajor
60,Cmajor,60,60,55,Gmajor,55,Gmajor
60,Fmajor,60,60,59,Cmajor,60,Cmajor
60,Cmajor,60,55,60,Cmajor,60,Cmajor
55,Cother,60,55,60,Cmajor,60,Cmajor
-55,Cmajor,55,60,60,Cmajor,60,Cmajor
60,Cmajor,60,60,60,Cmajor,60,Cmajor
58,Cmajor,60,60,60,Cmajor,62,Gmajor
57,Fmajor,57,57,60,Cmajor,60,Cmajor
55,Gmajor,59,55,60,Cmajor,60,Cmajor
55,Cmajor,60,55,60,Cmajor,55,Cmajor
57,Aminor,60,57,60,Cmajor,55,Gmajor
54,Dmajor,54,54,60,Fmajor,57,Aminor
55,Gmajor,55,55,60,Fmajor,57,Fmajor
57,Dmajor,57,57,57,Fmajor,55,Cmajor
-55,Aminor,55,55,60,Fmajor,55,Cmajor
55,Gmajor,50,50,59,Fmajor,55,Cmajor
50,Gmajor,50,50,60,Fmajor,55,Cmajor
55,Cmajor,55,55,52,Cmajor,55,Gmajor
55,Cother,60,55,53,Fmajor,55,Gmajor
55,Cmajor,60,55,52,Cmajor,52,Cmajor
57,Fmajor,60,57,55,Cmajor,55,Cmajor
57,Dminor,62,57,1000,Fmajor,1000,Dminor
60,Aminor,60,60,60,Fmajor,67,Ediminished
60,Dminor,57,60,60,Fmajor,60,Fmajor
59,Gmajor,59,59,59,Cmajor,60,Cmajor
55,Cmajor
