original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords,simple2CHORD,simple3CHORD,simple1CHORD,simple7CHORD,simple6CHORD,viterbi4CHORD,viterbi8CHORD
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Fmajor,60,Cmajor,Eother,Eother,Eother,Eother,Eother,Cmajor,Cmajor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Fmajor,60,Cmajor,Eother,Eother,Eother,Eother,Eother,Cmajor,Cmajor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Cother,60,Cmajor,Eother,Eother,Eother,Eother,Eother,Cmajor,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,59,Gmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
65,60,57,45,Fmajor,60,60,60,60,60,60,Cmajor,60,Cmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
67,59,50,43,Gmajor,60,59,62,59,59,60,Dminor,60,Cmajor,Cother,Gmajor,Gother,Gmajor,Gmajor,Cother,Cother
65,57,50,38,Dminor,60,57,62,57,57,59,Gmajor,60,Cmajor,Dminor,Dminor,Dminor,Dminor,Dminor,Bdiminished,Dminor
64,60,55,40,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
62,60,55,43,Cother,59,60,60,59,60,60,Cmajor,60,Cmajor,Gmajor,Cother,Cother,Gmajor,Cother,Cother,Cother
64,60,55,36,Cmajor,60,60,60,60,60,60,Cmajor,60,Fmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
64,60,57,45,Aminor,60,60,60,60,60,60,Cmajor,57,Fmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aother
64,60,55,40,Cmajor,60,60,60,60,60,60,Fmajor,55,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Eminor
62,59,55,43,Gmajor,59,59,59,59,59,60,Fmajor,52,Aminor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Eminor
65,62,57,38,Dminor,60,57,62,62,62,1000,Fmajor,1000,Dminor,Dminor,Dminor,Dminor,Dminor,Dminor,Dminor,Dminor
62,59,55,41,Gmajor,59,59,59,59,59,60,Fmajor,67,Ediminished,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Dminor,Gother
60,60,52,45,Aminor,55,60,57,57,57,60,Fmajor,60,Fmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
62,60,57,41,Dminor,59,57,57,60,60,59,Cmajor,55,Cmajor,Bdiminished,Dminor,Dminor,Dminor,Dminor,Bdiminished,Dminor
60,55,52,36,Cmajor,55,60,55,55,55,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,NOT_FOUND,NOT_FOUND
