original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords,simple2CHORD,simple3CHORD,simple1CHORD,simple7CHORD,simple6CHORD,viterbi4CHORD,viterbi8CHORD
67,64,55,48,Cmajor,60,60,60,64,64,60,Fmajor,64,Cmajor,Cother,Cother,Cother,Cmajor,Cmajor,Cother,Cmajor
65,62,55,48,Dminor,60,57,62,62,62,67,Cmajor,67,Cmajor,Fother,Fmajor,Dminor,Dminor,Dminor,Fother,Fother
69,60,55,41,Fmajor,60,60,60,60,60,64,Cmajor,67,Aminor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
71,-62,-53,43,Gmajor,62,59,62,62,62,67,Cmajor,62,Dmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
72,64,52,45,Aminor,64,60,64,60,60,60,Fmajor,62,Gmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
72,-64,55,50,Cmajor,64,60,67,64,64,62,Gmajor,64,Aminor,Cmajor,Cother,Cother,Cmajor,Cmajor,Cother,Cmajor
71,62,55,43,Gmajor,62,59,62,62,62,62,Gmajor,65,Dminor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
-71,-62,-55,-43,Gmajor,62,59,62,62,62,67,Cmajor,62,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
69,62,57,53,Dminor,60,57,65,60,62,67,Cmajor,64,Cmajor,Fmajor,Fmajor,Fmajor,Fmajor,Dminor,Fmajor,Fmajor
72,60,55,52,Cmajor,64,60,67,67,67,62,Gmajor,62,Gmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,62,55,47,Gmajor,60,59,62,62,62,72,Cmajor,65,Gmajor,Cother,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Gmajor
64,60,55,48,Cmajor,60,60,60,60,60,62,Gmajor,62,Gmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
65,60,53,45,Fmajor,60,60,60,60,60,60,Fmajor,55,Cmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
64,60,55,43,Cmajor,60,60,60,60,60,55,Gmajor,55,Gmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Eminor,Eminor
62,60,57,43,Aminor,59,60,60,60,60,59,Cmajor,60,Cmajor,Gmajor,Aminor,Aminor,Aminor,Aminor,Gmajor,Aminor
60,55,52,48,Cmajor,55,60,55,55,55,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,64,55,48,Cmajor,60,60,60,64,64,60,Cmajor,60,Cother,Cother,Cother,Cother,Cmajor,Cmajor,Cother,Cother
65,62,55,48,Dminor,60,57,62,62,62,60,Cmajor,74,Gmajor,Fother,Fmajor,Dminor,Dminor,Dminor,Fother,Dminor
69,60,55,41,Fmajor,60,60,60,60,60,60,Cmajor,67,Gmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
71,-62,-53,43,Gmajor,62,59,62,62,62,64,Gmajor,67,Aminor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Eminor,Gmajor
72,64,52,45,Aminor,64,60,64,60,60,62,Gmajor,67,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
72,-64,55,50,Cmajor,64,60,67,64,64,67,Cmajor,67,Gmajor,Cmajor,Cother,Cother,Cmajor,Cmajor,Cother,Cother
71,62,55,43,Gmajor,62,59,62,62,62,60,Fmajor,74,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Gmajor
-71,-62,-55,-43,Gmajor,62,59,62,62,62,64,Gmajor,64,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Eminor,Eminor
69,62,57,53,Dminor,60,57,65,60,62,67,Cmajor,60,Cmajor,Fmajor,Fmajor,Fmajor,Fmajor,Dminor,Fmajor,Fmajor
72,60,55,52,Cmajor,64,60,67,67,67,67,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,62,55,47,Gmajor,60,59,62,62,62,60,Fmajor,60,Fmajor,Cother,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Cother
64,60,55,48,Cmajor,60,60,60,60,60,60,Cmajor,55,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
65,60,53,45,Fmajor,60,60,60,60,60,60,Cmajor,55,Cother,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
64,60,55,43,Cmajor,60,60,60,60,60,55,Gmajor,55,Gmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Eminor,Eminor
62,60,57,43,Aminor,59,60,60,60,60,59,Cmajor,60,Cmajor,Gmajor,Aminor,Aminor,Aminor,Aminor,Gmajor,Aminor
60,55,52,48,Cmajor,55,60,55,55,55,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
64,57,57,49,Amajor,60,64,61,55,55,60,Cmajor,62,Gmajor,Aother,Amajor,Amajor,Amajor,Amajor,Aother,Amajor
66,-64,57,50,Dmajor,57,62,57,62,62,60,Cmajor,62,Cmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor
68,64,59,50,Emajor,64,59,64,64,64,60,Cmajor,64,Cmajor,Emajor,G#diminished,Emajor,Emajor,Emajor,G#diminished,Emajor
69,64,57,53,Fmajor,60,60,60,60,60,64,Gmajor,65,Dminor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
72,64,57,52,Aminor,64,60,64,64,64,62,Gmajor,67,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
71,64,56,52,Emajor,62,59,68,64,64,67,Cmajor,62,Gmajor,Emajor,Emajor,Emajor,Emajor,Emajor,Eother,Emajor
69,64,60,45,Aminor,60,60,64,64,64,60,Fmajor,74,Cmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Dother
-69,-64,-60,-45,Aminor,60,60,64,64,64,64,Gmajor,64,Gmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
71,65,62,50,Bdiminished,62,59,65,65,65,67,Cmajor,60,Cmajor,Bminor,Bminor,Bdiminished,Bdiminished,Bdiminished,Gmajor,Bminor
72,67,64,48,Cmajor,64,60,67,67,67,67,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
74,67,62,48,Cother,67,60,67,67,67,60,Fmajor,60,Fmajor,Cother,Dother,Cother,Cother,Cother,Dother,Dother
76,67,60,48,Cmajor,67,60,67,67,67,60,Cmajor,60,Fmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
74,69,60,53,Dminor,67,57,65,69,69,60,Fmajor,60,Fmajor,Dminor,Dminor,Dminor,Dminor,Dminor,Dminor,Dminor
74,67,59,55,Gmajor,67,59,67,67,67,64,Cmajor,67,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Eminor,Gmajor
72,64,55,48,Cmajor,64,60,67,64,64,Cmajor,Cother,Cother,Cmajor,Cmajor,NOT_FOUND,NOT_FOUND
