original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords,simple2CHORD,simple3CHORD,simple1CHORD,simple7CHORD,simple6CHORD,viterbi4CHORD,viterbi8CHORD
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Fmajor,65,Fmajor,Eother,Eother,Eother,Eother,Eother,Cmajor,Fother
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,64,Gmajor,67,Cmajor,Eother,Eother,Eother,Eother,Eother,Eother,Eminor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,64,Cmajor,67,Gmajor,Eother,Eother,Eother,Eother,Eother,Eother,Eminor
76,67,60,48,Cmajor,67,60,67,67,67,64,Cmajor,67,Gmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
76,67,60,60,Cmajor,67,60,67,67,67,64,Cmajor,64,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
72,64,55,58,Cmajor,64,60,67,64,64,60,Fmajor,67,Gmajor,Cmajor,Cother,Cother,Cmajor,Cmajor,Cother,Cother
74,65,57,57,Dminor,67,57,65,65,65,72,Cmajor,67,Gmajor,Gother,Dother,Dminor,Dminor,Dminor,Dother,Gother
76,67,58,55,Ediminished,67,58,67,67,67,67,Cmajor,64,Aminor,Ediminished,Ediminished,Ediminished,Ediminished,Ediminished,Ediminished,Ediminished
77,69,60,53,Fmajor,69,60,69,69,69,60,Fmajor,65,Gmajor,Fmajor,Fother,Fmajor,Fmajor,Fmajor,Fother,Fother
-77,-69,-60,-53,Fmajor,69,60,69,69,69,60,Fmajor,64,Cmajor,Fmajor,Fother,Fmajor,Fmajor,Fmajor,Fother,Fother
74,65,58,46,B-major,67,62,65,65,65,67,Cmajor,60,Cmajor,Gminor,B-major,B-major,B-major,B-major,Gminor,B-major
74,65,58,57,B-major,67,62,65,65,65,67,Cmajor,60,Cmajor,Gminor,B-major,B-major,B-major,B-major,Gminor,B-major
74,64,59,56,Emajor,67,59,64,64,64,64,Cmajor,64,Cmajor,Gmajor,G#diminished,Emajor,Emajor,Emajor,Emajor,Emajor
