original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords,simple2CHORD,simple3CHORD,simple1CHORD,simple7CHORD,simple6CHORD,viterbi4CHORD,viterbi8CHORD
67,64,60,60,Cmajor,60,60,60,64,64,59,Cmajor,60,Cmajor,Cother,Cother,Cother,Cmajor,Cmajor,Cother,Cother
67,64,60,48,Cmajor,60,60,60,64,64,60,Cmajor,65,Fmajor,Cother,Cother,Cother,Cmajor,Cmajor,Cother,Fother
69,60,57,53,Fmajor,60,60,60,60,60,62,Gmajor,65,Dminor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Dminor,Fmajor
69,62,59,53,Bdiminished,60,59,62,62,62,60,Cmajor,62,Gmajor,Fmajor,Bother,Bdiminished,Bdiminished,Bdiminished,Fmajor,Bdiminished
71,65,62,50,Bdiminished,62,59,65,65,65,60,Cmajor,64,Cmajor,Bminor,Bminor,Bdiminished,Bdiminished,Bdiminished,Bminor,Eother
71,67,64,43,Eminor,62,59,67,67,67,60,Fmajor,67,Cmajor,Eminor,Eminor,Eminor,Eminor,Eminor,Cmajor,Eminor
72,64,60,48,Cmajor,64,60,67,64,64,64,Gmajor,67,Cmajor,Cmajor,Cother,Cother,Cmajor,Cmajor,Cmajor,Cother
-72,-64,-60,-48,Cmajor,64,60,67,64,64,67,Cmajor,67,Gmajor,Cmajor,Cother,Cother,Cmajor,Cmajor,Cother,Cother
74,67,59,55,Gmajor,67,59,67,67,67,67,Cmajor,67,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
74,67,62,59,Gmajor,67,59,67,67,67,62,Gmajor,60,Fmajor,Gmajor,Bminor,Gmajor,Gmajor,Gmajor,Bminor,Bminor
72,64,60,57,Aminor,64,60,64,64,64,62,Gmajor,60,Fmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Dother,Aminor
72,62,57,54,Dmajor,64,62,62,62,62,60,Cmajor,59,Gmajor,F#diminished,Dmajor,Dmajor,Dmajor,Dmajor,F#diminished,F#diminished
71,62,55,55,Gmajor,62,59,62,62,62,60,Cmajor,57,Aminor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Gmajor
69,64,55,48,Aminor,60,60,64,64,64,55,Cmajor,55,Cmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
69,62,55,50,Gother,60,67,67,60,62,60,Fmajor,57,Fmajor,Aminor,Gother,Gother,Aminor,Gother,Aminor,Gother
-69,-62,54,50,Dmajor,60,62,62,62,62,59,Gmajor,60,Cmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Bminor,Dmajor
67,59,50,43,Gmajor,60,59,62,59,59,59,Cmajor,59,Cmajor,Cother,Gmajor,Gother,Gmajor,Gmajor,Gmajor,Gmajor
-67,-59,-50,-43,Gmajor,60,59,62,59,59,59,Cmajor,57,Dminor,Cother,Gmajor,Gother,Gmajor,Gmajor,Gmajor,Gother
67,60,52,48,Cmajor,60,60,60,60,60,60,Cmajor,62,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
