original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords,simple2CHORD,simple3CHORD,simple1CHORD,simple7CHORD,simple6CHORD,viterbi4CHORD,viterbi8CHORD
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,62,Gmajor,Eother,Eother,Eother,Eother,Eother,Cmajor,Eother
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,62,Gmajor,67,Eminor,Eother,Eother,Eother,Eother,Eother,Eother,Eminor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,64,Aminor,Eother,Eother,Eother,Eother,Eother,Cmajor,Eother
72,67,64,48,Cmajor,64,60,67,67,67,62,Gmajor,62,Dmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
71,67,62,55,Gmajor,62,59,62,67,67,67,Cmajor,62,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
69,64,60,55,Aminor,60,60,64,64,64,67,Cmajor,64,Gmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
71,62,59,55,Gmajor,62,59,62,62,62,60,Fmajor,60,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Cother
67,64,60,52,Cmajor,60,60,60,64,64,62,Gmajor,62,Dminor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
69,60,57,53,Fmajor,60,60,60,60,60,67,Cmajor,65,Dminor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
71,62,53,50,Bdiminished,62,59,65,62,62,67,Cmajor,62,Gmajor,Bdiminished,Bdiminished,Bdiminished,Bdiminished,Bdiminished,Gmajor,Bdiminished
72,64,55,48,Cmajor,64,60,67,64,64,60,Cmajor,60,Cmajor,Cmajor,Cother,Cother,Cmajor,Cmajor,Cother,Cother
72,64,55,48,Cmajor,64,60,67,64,64,62,Gmajor,60,Fmajor,Cmajor,Cother,Cother,Cmajor,Cmajor,Cother,Cother
72,67,60,52,Cmajor,64,60,67,67,67,62,Gmajor,60,Fmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,64,60,52,Cmajor,60,60,60,64,64,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,62,59,55,Gmajor,60,59,62,62,62,60,Cmajor,60,Cmajor,Cother,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Cother
64,60,58,55,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,60,55,52,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
65,62,55,48,Dminor,60,57,62,62,62,60,Cmajor,60,Cmajor,Fother,Fmajor,Dminor,Dminor,Dminor,Fother,Fother
64,60,55,48,Cmajor,60,60,60,60,60,60,Cmajor,62,Gmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,60,Cmajor,67,Gmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
69,64,55,49,Amajor,60,64,64,64,64,60,Fmajor,67,Cmajor,Aother,Amajor,Amajor,Amajor,Amajor,Aother,Amajor
69,62,54,50,Dmajor,60,62,62,62,62,64,Gmajor,67,Cmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor
67,62,55,47,Gmajor,60,59,62,62,62,67,Cmajor,67,Cother,Cother,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
71,67,59,43,Gmajor,62,59,62,62,62,67,Cmajor,64,Emajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Eminor
72,67,55,52,Cmajor,64,60,67,67,67,60,Fmajor,64,Aminor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
69,67,64,48,Aminor,60,60,64,67,67,60,Cmajor,62,Gmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
67,62,59,43,Gmajor,60,59,62,62,62,67,Cmajor,67,Cmajor,Cother,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
72,64,60,57,Aminor,64,60,64,64,64,62,Gmajor,66,Dmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Dother,F#diminished
71,62,57,55,Gmajor,62,59,62,62,62,67,Cmajor,67,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
69,64,55,48,Aminor,60,60,64,64,64,67,Cmajor,67,Cmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
67,59,55,53,Gmajor,60,59,62,59,59,1000,Fmajor,1000,Dminor,Fother,Gmajor,Gother,Gmajor,Gmajor,Eminor,Eminor
69,57,53,53,Fmajor,60,60,60,60,60,60,Fmajor,67,Ediminished,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
65,60,48,57,Fmajor,60,60,60,60,60,60,Fmajor,60,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
62,60,55,55,Cother,59,60,60,59,60,59,Cmajor,60,Cmajor,Gmajor,Cother,Cother,Gmajor,Cother,Gmajor,Cother
60,55,52,48,Cmajor,55,60,55,55,55,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,NOT_FOUND,NOT_FOUND
