original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Fmajor,57,Fmajor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,59,Cmajor,60,Cmajor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Fmajor,60,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,60,Fmajor,60,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,59,Fmajor,55,Cmajor
65,60,57,45,Fmajor,60,60,60,60,60,60,Fmajor,60,Cmajor
67,59,50,43,Gmajor,60,59,62,59,59,60,Fmajor,60,Cmajor
65,57,53,38,Dminor,60,57,62,60,60,59,Gmajor,60,Cmajor
64,60,55,40,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Cmajor,60,Cmajor
64,60,55,36,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
64,55,48,48,Cmajor,60,60,60,55,55,60,Cmajor,60,Cmajor
64,57,48,45,Aminor,60,60,60,57,57,60,Cmajor,60,Cmajor
62,57,-48,41,Dminor,59,57,57,57,57,60,Fmajor,59,Gmajor
65,53,48,38,Dminor,60,57,62,53,53,59,Fmajor,60,Cmajor
62,55,53,35,Gmajor,59,59,59,55,55,59,Bdiminished,60,Cmajor
60,55,55,40,Cmajor,55,60,55,60,60,59,Cmajor,60,Cmajor
62,59,53,43,Gmajor,59,59,59,59,59,60,Cmajor,60,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,60,Cmajor,60,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,60,Cmajor,60,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,59,Gmajor,55,Cmajor
65,60,57,45,Fmajor,60,60,60,60,60,55,Gmajor,55,Cmajor
67,59,50,43,Gmajor,60,59,62,59,59,55,Cmajor,57,Fmajor
65,57,53,38,Dminor,60,57,62,60,60,59,Cmajor,60,Cmajor
64,60,55,40,Cmajor,60,60,60,60,60,60,Fmajor,60,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Fmajor,60,Cmajor
64,60,55,36,Cmajor,60,60,60,60,60,60,Cother,60,Cmajor
64,55,48,48,Cmajor,60,60,60,55,55,59,Gmajor,60,Cmajor
64,57,48,45,Aminor,60,60,60,57,57,60,Cmajor,55,Cmajor
62,57,-48,41,Dminor,59,57,57,57,57,60,Cmajor,55,Cmajor
65,53,48,38,Dminor,60,57,62,53,53,60,Dminor,55,Cmajor
62,55,53,35,Gmajor,59,59,59,55,55,59,Gmajor,55,Cmajor
60,55,55,40,Cmajor,55,60,55,60,60,60,Cmajor,55,Cmajor
62,59,53,43,Gmajor,59,59,59,59,59,60,Cmajor,55,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,60,Cmajor,55,Cother
60,55,52,36,Cmajor,55,60,55,55,55,60,Cmajor,55,Gmajor
62,55,47,43,Gmajor,59,59,59,55,55,60,Cmajor,60,Cmajor
64,55,49,41,C#diminished,60,61,61,55,55,55,Gmajor,55,Cmajor
65,53,50,38,Dminor,60,57,62,57,57,55,Cmajor,57,Fmajor
64,57,49,43,Amajor,60,64,61,57,57,59,Cmajor,60,Cmajor
62,57,50,46,B-major,59,62,58,53,53,60,Fmajor,60,Cmajor
64,55,49,45,Amajor,60,64,61,57,57,60,Fmajor,60,Cmajor
62,53,45,38,Dminor,59,57,57,53,53,60,Cother,60,Cmajor
62,55,50,47,Gmajor,59,59,59,55,55,59,Gmajor,60,Cmajor
64,55,48,48,Cmajor,60,60,60,55,55,60,Cmajor,60,Cmajor
65,57,48,45,Fmajor,60,60,60,57,57,60,Cmajor,60,Cmajor
67,59,50,43,Gmajor,60,59,62,59,59,60,Dminor,60,Cmajor
65,57,48,45,Fmajor,60,60,60,57,57,59,Gmajor,60,Cmajor
64,55,52,48,Cmajor,60,60,60,55,55,60,Cmajor,60,Cmajor
62,53,45,50,Dminor,59,57,57,53,53,60,Cmajor,60,Cmajor
64,57,48,45,Aminor,60,60,60,57,57,60,Cmajor,60,Fmajor
60,57,52,45,Aminor,55,60,57,57,57,60,Cmajor,57,Fmajor
62,57,45,41,Dminor,59,57,57,57,57,60,Fmajor,55,Cmajor
64,55,48,40,Cmajor,60,60,60,55,55,60,Fmajor,52,Aminor
65,53,48,38,Dminor,60,57,62,53,53,1000,Fmajor,1000,Dminor
62,55,47,41,Gmajor,59,59,59,55,55,60,Fmajor,67,Ediminished
60,55,48,40,Cmajor,55,60,55,55,55,60,Fmajor,60,Fmajor
59,55,50,43,Gmajor,55,59,55,55,55,52,Cmajor,52,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55
