original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
67,64,55,48,Cmajor,60,60,60,64,64,60,Fmajor,64,Cmajor
65,62,55,48,Dminor,60,57,62,62,62,67,Cmajor,67,Cmajor
69,60,55,41,Fmajor,60,60,60,60,60,64,Cmajor,67,Aminor
71,-62,-53,43,Gmajor,62,59,62,62,62,67,Cmajor,62,Dmajor
72,64,52,45,Aminor,64,60,64,60,60,60,Fmajor,62,Gmajor
72,-64,55,50,Cmajor,64,60,67,64,64,62,Gmajor,64,Aminor
71,62,55,43,Gmajor,62,59,62,62,62,62,Gmajor,65,Dminor
-71,-62,-55,-43,Gmajor,62,59,62,62,62,67,Cmajor,62,Gmajor
69,62,57,53,Dminor,60,57,65,60,62,67,Cmajor,64,Cmajor
72,60,55,52,Cmajor,64,60,67,67,67,62,Gmajor,62,Gmajor
67,62,55,47,Gmajor,60,59,62,62,62,72,Cmajor,65,Gmajor
64,60,55,48,Cmajor,60,60,60,60,60,62,Gmajor,62,Gmajor
65,60,53,45,Fmajor,60,60,60,60,60,60,Fmajor,55,Cmajor
64,60,55,43,Cmajor,60,60,60,60,60,55,Gmajor,55,Gmajor
62,60,57,43,Aminor,59,60,60,60,60,59,Cmajor,60,Cmajor
60,55,52,48,Cmajor,55,60,55,55,55,60,Cmajor,60,Cmajor
67,64,55,48,Cmajor,60,60,60,64,64,60,Cmajor,60,Cother
65,62,55,48,Dminor,60,57,62,62,62,60,Cmajor,74,Gmajor
69,60,55,41,Fmajor,60,60,60,60,60,60,Cmajor,67,Gmajor
71,-62,-53,43,Gmajor,62,59,62,62,62,64,Gmajor,67,Aminor
72,64,52,45,Aminor,64,60,64,60,60,62,Gmajor,67,Aminor
72,-64,55,50,Cmajor,64,60,67,64,64,67,Cmajor,67,Gmajor
71,62,55,43,Gmajor,62,59,62,62,62,60,Fmajor,74,Cmajor
-71,-62,-55,-43,Gmajor,62,59,62,62,62,64,Gmajor,64,Gmajor
69,62,57,53,Dminor,60,57,65,60,62,67,Cmajor,60,Cmajor
72,60,55,52,Cmajor,64,60,67,67,67,67,Cmajor,60,Cmajor
67,62,55,47,Gmajor,60,59,62,62,62,60,Fmajor,60,Fmajor
64,60,55,48,Cmajor,60,60,60,60,60,60,Cmajor,55,Cmajor
65,60,53,45,Fmajor,60,60,60,60,60,60,Cmajor,55,Cother
64,60,55,43,Cmajor,60,60,60,60,60,55,Gmajor,55,Gmajor
62,60,57,43,Aminor,59,60,60,60,60,59,Cmajor,60,Cmajor
60,55,52,48,Cmajor,55,60,55,55,55,60,Cmajor,60,Cmajor
64,57,57,49,Amajor,60,64,61,55,55,60,Cmajor,62,Gmajor
66,-64,57,50,Dmajor,57,62,57,62,62,60,Cmajor,62,Cmajor
68,64,59,50,Emajor,64,59,64,64,64,60,Cmajor,64,Cmajor
69,64,57,53,Fmajor,60,60,60,60,60,64,Gmajor,65,Dminor
72,64,57,52,Aminor,64,60,64,64,64,62,Gmajor,67,Aminor
71,64,56,52,Emajor,62,59,68,64,64,67,Cmajor,62,Gmajor
69,64,60,45,Aminor,60,60,64,64,64,60,Fmajor,74,Cmajor
-69,-64,-60,-45,Aminor,60,60,64,64,64,64,Gmajor,64,Gmajor
71,65,62,50,Bdiminished,62,59,65,65,65,67,Cmajor,60,Cmajor
72,67,64,48,Cmajor,64,60,67,67,67,67,Cmajor,60,Cmajor
74,67,62,48,Cother,67,60,67,67,67,60,Fmajor,60,Fmajor
76,67,60,48,Cmajor,67,60,67,67,67,60,Cmajor,60,Fmajor
74,69,60,53,Dminor,67,57,65,69,69,60,Fmajor,60,Fmajor
74,67,59,55,Gmajor,67,59,67,67,67,64,Cmajor,67,Gmajor
72,64,55,48,Cmajor,64,60,67,64,64
