original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Fmajor,65,Fmajor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,64,Gmajor,67,Cmajor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,64,Cmajor,67,Gmajor
76,67,60,48,Cmajor,67,60,67,67,67,64,Cmajor,67,Gmajor
76,67,60,60,Cmajor,67,60,67,67,67,64,Cmajor,64,Cmajor
72,64,55,58,Cmajor,64,60,67,64,64,60,Fmajor,67,Gmajor
74,65,57,57,Dminor,67,57,65,65,65,72,Cmajor,67,Gmajor
76,67,58,55,Ediminished,67,58,67,67,67,67,Cmajor,64,Aminor
77,69,60,53,Fmajor,69,60,69,69,69,60,Fmajor,65,Gmajor
-77,-69,-60,-53,Fmajor,69,60,69,69,69,60,Fmajor,64,Cmajor
74,65,58,46,B-major,67,62,65,65,65,67,Cmajor,60,Cmajor
74,65,58,57,B-major,67,62,65,65,65,67,Cmajor,60,Cmajor
74,64,59,56,Emajor,67,59,64,64,64,64,Cmajor,64,Cmajor
72,64,60,57,Aminor,64,60,64,64,64,64,Cmajor,62,Gmajor
72,62,57,54,Dmajor,64,62,62,62,62,65,Dminor,59,Cmajor
71,67,62,55,Gmajor,62,59,62,67,67,60,Fmajor,55,Gmajor
72,67,64,48,Cmajor,64,60,67,67,67,72,Cmajor,72,Cmajor
-72,-67,-64,-48,Cmajor,64,60,67,67,67,67,Cmajor,67,Cmajor
-72,-67,-64,-48,Cmajor,64,60,67,67,67,60,Fmajor,69,Dminor
74,67,59,55,Gmajor,67,59,67,67,67,60,Fmajor,72,Cmajor
74,62,57,54,Dmajor,67,62,69,62,62,67,Cmajor,67,Cmajor
74,66,60,50,Dmajor,67,62,69,66,66,67,Gmajor,67,Gmajor
74,67,59,55,Gmajor,67,59,67,67,67,72,Cmajor,67,Gmajor
76,68,59,52,Emajor,67,59,71,68,68,67,Cmajor,64,Aminor
72,69,60,57,Aminor,64,60,64,64,64,60,Fmajor,65,Gmajor
-72,-69,64,-57,Aminor,64,60,64,69,69,60,Fmajor,64,Cmajor
72,69,64,57,Aminor,64,60,64,69,69,67,Cmajor,60,Cmajor
72,64,57,57,Aminor,64,60,64,64,64,67,Cmajor,60,Cmajor
71,62,53,50,Bdiminished,62,59,65,62,62,64,Cmajor,64,Cmajor
72,64,55,48,Cmajor,64,60,67,64,64,64,Cmajor,62,Gmajor
74,65,60,55,Dminor,67,57,65,67,65,65,Dminor,59,Cmajor
74,67,59,43,Gmajor,67,59,67,67,67,60,Fmajor,55,Gmajor
72,64,55,48,Cmajor,64,60,67,64,64,72,Cmajor,72,Cmajor
-72,-64,-55,-48,Cmajor,64,60,67,64,64,67,Cmajor,67,Cmajor
-72,-64,-55,-48,Cmajor,64,60,67,64,64,60,Fmajor,69,Dminor
76,67,60,48,Cmajor,67,60,67,67,67,60,Fmajor,72,Cmajor
76,67,60,60,Cmajor,67,60,67,67,67,67,Cmajor,67,Cmajor
72,64,55,58,Cmajor,64,60,67,64,64,67,Gmajor,67,Gmajor
74,65,57,57,Dminor,67,57,65,65,65,72,Cmajor,67,Gmajor
76,67,58,55,Ediminished,67,58,67,67,67,67,Cmajor,64,Aminor
77,69,60,53,Fmajor,69,60,69,69,69,60,Fmajor,65,Gmajor
-77,-69,-60,-53,Fmajor,69,60,69,69,69,60,Fmajor,64,Cmajor
74,65,58,46,B-major,67,62,65,65,65,67,Cmajor,67,Cmajor
74,65,58,57,B-major,67,62,65,65,65,67,Cmajor,67,Cmajor
74,64,59,56,Emajor,67,59,64,64,64,64,Gmajor,67,Cmajor
72,64,60,57,Aminor,64,60,64,64,64,64,Gmajor,67,Cmajor
72,62,57,54,Dmajor,64,62,62,62,62,67,Cmajor,67,Cmajor
71,67,62,55,Gmajor,62,59,62,67,67,67,Cmajor,67,Gmajor
72,67,64,48,Cmajor,64,60,67,67,67,67,Cmajor,62,Gmajor
-72,-67,-64,-48,Cmajor,64,60,67,67,67,67,Cmajor,62,Emajor
-72,-67,-64,-48,Cmajor,64,60,67,67,67,67,Cmajor,65,Bdiminished
74,67,59,55,Gmajor,67,59,67,67,67,67,Cmajor,67,Cmajor
74,62,57,54,Dmajor,67,62,69,62,62,60,Fmajor,65,Fmajor
74,66,60,50,Dmajor,67,62,69,66,66,64,Gmajor,67,Cmajor
74,67,59,55,Gmajor,67,59,67,67,67,67,Cmajor,67,Cmajor
76,68,59,52,Emajor,67,59,71,68,68,67,Cmajor,67,Gmajor
72,69,60,57,Aminor,64,60,64,64,64,67,Cmajor,62,Gmajor
-72,-69,64,-57,Aminor,64,60,64,69,69,67,Cmajor,62,Emajor
72,69,64,57,Aminor,64,60,64,69,69,67,Cmajor,65,Bdiminished
72,64,57,57,Aminor,64,60,64,64,64,67,Cmajor,67,Cmajor
71,62,53,50,Bdiminished,62,59,65,62,62,60,Fmajor,65,Fmajor
72,64,55,48,Cmajor,64,60,67,64,64,64,Gmajor,67,Cmajor
74,65,60,55,Dminor,67,57,65,67,65,67,Cmajor,67,Cmajor
74,67,59,43,Gmajor,67,59,67,67,67,64,Cmajor,67,Gmajor
72,64,55,48,Cmajor,64,60,67,64,64,64,Cmajor,67,Gmajor
-72,-64,-55,-48,Cmajor,64,60,67,64,64,60,Fmajor,64,Cmajor
-72,-64,-55,-48,Cmajor,64,60,67,64,64,67,Cmajor,67,Cmajor
71,62,55,43,Gmajor,62,59,62,62,62,60,Fmajor,65,Fmajor
71,67,62,55,Gmajor,62,59,62,67,67,64,Gmajor,67,Cmajor
71,67,62,53,Gmajor,62,59,62,67,67,64,Gmajor,67,Cmajor
71,67,64,52,Eminor,62,59,67,68,67,67,Cmajor,67,Cmajor
71,67,65,55,Gmajor,62,59,62,67,67,67,Cmajor,67,Cmajor
72,67,64,48,Cmajor,64,60,67,67,67,64,Cmajor,64,Cmajor
-72,-67,-64,-48,Cmajor,64,60,67,67,67,64,Cmajor,67,Gmajor
72,67,64,48,Cmajor,64,60,67,67,67,64,Cmajor,67,Gmajor
71,62,55,43,Gmajor,62,59,62,62,62,64,Cmajor,64,Cmajor
71,67,62,55,Gmajor,62,59,62,67,67,60,Fmajor,63,F#diminished
71,67,62,53,Gmajor,62,59,62,67,67,64,Gmajor,64,Gmajor
71,67,64,52,Eminor,62,59,67,68,67,67,Cmajor,67,Cmajor
71,67,65,55,Gmajor,62,59,62,67,67,67,Cmajor,67,Cmajor
72,67,64,48,Cmajor,64,60,67,67,67,60,Fmajor,65,Fmajor
-72,-67,-64,-48,Cmajor,64,60,67,67,67,64,Gmajor,67,Cmajor
72,67,64,48,Cmajor,64,60,67,67,67,64,Cmajor,67,Gmajor
76,67,60,48,Cmajor,67,60,67,67,67,64,Cmajor,67,Gmajor
