original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
67,64,60,60,Cmajor,60,60,60,64,64,59,Cmajor,60,Cmajor
67,64,60,48,Cmajor,60,60,60,64,64,60,Cmajor,65,Fmajor
69,60,57,53,Fmajor,60,60,60,60,60,62,Gmajor,65,Dminor
69,62,59,53,Bdiminished,60,59,62,62,62,60,Cmajor,62,Gmajor
71,65,62,50,Bdiminished,62,59,65,65,65,60,Cmajor,64,Cmajor
71,67,64,43,Eminor,62,59,67,67,67,60,Fmajor,67,Cmajor
72,64,60,48,Cmajor,64,60,67,64,64,64,Gmajor,67,Cmajor
-72,-64,-60,-48,Cmajor,64,60,67,64,64,67,Cmajor,67,Gmajor
74,67,59,55,Gmajor,67,59,67,67,67,67,Cmajor,67,Cmajor
74,67,62,59,Gmajor,67,59,67,67,67,62,Gmajor,60,Fmajor
72,64,60,57,Aminor,64,60,64,64,64,62,Gmajor,60,Fmajor
72,62,57,54,Dmajor,64,62,62,62,62,60,Cmajor,59,Gmajor
71,62,55,55,Gmajor,62,59,62,62,62,60,Cmajor,57,Aminor
69,64,55,48,Aminor,60,60,64,64,64,55,Cmajor,55,Cmajor
69,62,55,50,Gother,60,67,67,60,62,60,Fmajor,57,Fmajor
-69,-62,54,50,Dmajor,60,62,62,62,62,59,Gmajor,60,Cmajor
67,59,50,43,Gmajor,60,59,62,59,59,59,Cmajor,59,Cmajor
-67,-59,-50,-43,Gmajor,60,59,62,59,59,59,Cmajor,57,Dminor
67,60,52,48,Cmajor,60,60,60,60,60,60,Cmajor,62,Cmajor
67,60,55,52,Cmajor,60,60,60,60,60,60,Cmajor,62,Gmajor
69,60,53,53,Fmajor,60,60,60,60,60,60,Cother,60,Cmajor
69,65,62,50,Dminor,60,57,65,65,65,62,Gmajor,60,Cmajor
67,65,62,47,Gmajor,60,59,62,65,65,60,Cmajor,60,Cmajor
65,64,57,50,Dminor,60,57,62,62,62,60,Cmajor,60,Cmajor
64,61,57,45,Amajor,60,64,61,60,61,60,Cmajor,60,Cmajor
-64,-61,-57,-45,Amajor,60,64,61,60,61,60,Cmajor,60,Cmajor
67,59,55,52,Eminor,60,59,59,60,59,60,Cmajor,64,Cmajor
67,64,52,48,Cmajor,60,60,60,60,60,62,Gmajor,62,Dminor
65,60,52,45,Fmajor,60,60,60,60,60,62,Gmajor,65,Dminor
65,60,52,45,Fmajor,60,60,60,60,60,62,Gmajor,62,Gmajor
64,64,55,48,Cmajor,60,60,60,60,60,60,Cmajor,64,Cmajor
62,60,57,53,Dminor,59,57,57,60,60,60,Cmajor,64,Cmajor
62,60,55,55,Cother,59,60,60,59,60,60,Cmajor,65,Dminor
-62,59,-55,55,Gmajor,59,59,59,59,59,62,Gmajor,67,Eminor
60,55,52,48,Cmajor,55,60,55,55,55,62,Gmajor,67,Aminor
-60,-55,-52,-48,Cmajor,55,60,55,55,55,62,Gmajor,66,Dmajor
67,60,52,48,Cmajor,60,60,60,60,60,67,Cmajor,67,Gmajor
67,60,55,52,Cmajor,60,60,60,60,60,60,Fmajor,67,Cmajor
69,60,53,53,Fmajor,60,60,60,60,60,64,Gmajor,62,Cother
69,62,57,53,Dminor,60,57,65,60,62,64,Cmajor,62,Cmajor
71,65,57,50,Bdiminished,62,59,65,65,65,64,Cmajor,48,Fmajor
71,64,-57,52,Aother,62,64,64,64,64,60,Fmajor,64,Gmajor
72,64,57,45,Aminor,64,60,64,64,64,64,Gmajor,67,Cmajor
-72,-64,-57,-45,Aminor,64,60,64,64,64,67,Cmajor,67,Gmajor
67,64,60,52,Cmajor,60,60,60,64,64,67,Cmajor,67,Cmajor
67,67,60,52,Cmajor,60,60,60,64,64,62,Gmajor,65,Fmajor
69,65,60,53,Fmajor,60,60,60,65,65,62,Gmajor,65,Dminor
65,60,57,57,Fmajor,60,60,60,60,60,60,Cmajor,62,Gmajor
62,60,57,53,Dminor,59,57,57,60,60,60,Cmajor,60,Cmajor
62,59,50,55,Gmajor,59,59,59,59,59,59,Cmajor,60,Cmajor
60,55,52,48,Cmajor,55,60,55,55,55
