original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,64,Dminor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,62,Gmajor,64,Aminor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,64,Aminor
72,67,64,48,Cmajor,64,60,67,67,67,60,Fmajor,64,Aminor
71,67,62,55,Gmajor,62,59,62,67,67,60,Fmajor,62,Gmajor
69,64,60,55,Aminor,60,60,64,64,64,64,Gmajor,64,Gmajor
71,62,59,55,Gmajor,62,59,62,62,62,60,Aminor,64,Cmajor
67,64,60,52,Cmajor,60,60,60,64,64,62,Dmajor,64,Cmajor
69,60,57,53,Fmajor,60,60,60,60,60,62,Gmajor,64,Cmajor
71,62,53,50,Bdiminished,62,59,65,62,62,62,Gmajor,64,Cmajor
72,64,55,48,Cmajor,64,60,67,64,64,60,Cmajor,64,Cmajor
-72,-64,-55,-48,Cmajor,64,60,67,64,64,60,Cmajor,64,Cmajor
-72,-64,-55,-48,Aminor,64,60,64,64,64,60,Cmajor,65,Dminor
-72,-64,-55,-48,Cmajor,64,60,67,64,64,62,Gmajor,62,Dminor
-72,-64,-55,-48,Fother,64,60,65,64,65,67,Cmajor,65,Dminor
-72,-64,-55,-48,Cmajor,64,60,67,64,64,67,Cmajor,62,Gmajor
-72,-64,-55,-48,Cmajor,64,60,67,64,64,60,Cmajor,60,Cmajor
72,64,55,48,Cmajor,64,60,67,64,64,62,Gmajor,60,Fmajor
72,67,60,52,Cmajor,64,60,67,67,67,62,Gmajor,60,Fmajor
67,64,60,52,Cmajor,60,60,60,64,64,60,Cmajor,60,Cmajor
67,62,59,55,Gmajor,60,59,62,62,62,60,Cmajor,55,Cmajor
64,60,58,55,Cmajor,60,60,60,60,60,60,Cmajor,55,Cmajor
67,60,55,52,Cmajor,60,60,60,60,60,60,Cmajor,55,Cmajor
65,62,55,48,Dminor,60,57,62,62,62,60,Cmajor,55,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,60,Cmajor,55,Cmajor
-64,-60,-55,-48,Cmajor,60,60,60,60,60,60,Cmajor,55,Cmajor
-64,-60,-55,-48,Aminor,60,60,60,60,60,60,Cmajor,55,Cmajor
-64,-60,-55,-48,Cmajor,60,60,60,60,60,60,Cmajor,55,Cmajor
-64,-60,-55,-48,Fother,60,60,60,60,60,60,Cmajor,59,Gmajor
-64,-60,-55,-48,Cmajor,60,60,60,60,60,60,Cmajor,64,Aminor
-64,-60,-55,-48,Cmajor,60,60,60,60,60,60,Cmajor,64,Aminor
64,60,55,48,Cmajor,60,60,60,60,60,60,Cmajor,54,Dmajor
69,64,55,49,Amajor,60,64,64,64,64,60,Fmajor,74,Gmajor
69,62,54,50,Dmajor,60,62,62,62,62,64,Gmajor,64,Gmajor
67,62,55,47,Gmajor,60,59,62,62,62,67,Cmajor,67,Cmajor
71,67,59,43,Gmajor,62,59,62,62,62,67,Cmajor,67,Cmajor
72,67,55,52,Cmajor,64,60,67,67,67,64,Gmajor,67,Cmajor
69,67,64,48,Aminor,60,60,64,67,67,64,Gmajor,67,Cmajor
67,62,59,43,Gmajor,60,59,62,62,62,67,Cmajor,67,Cmajor
-67,-62,-59,-43,Gmajor,60,59,62,62,62,64,Gmajor,67,Cmajor
-67,-62,-59,-43,Eminor,60,59,59,62,62,67,Cmajor,67,Cother
-67,-62,-59,-43,Gmajor,60,59,62,62,62,67,Cmajor,64,Emajor
-67,-62,-59,-43,Cmajor,60,60,60,62,62,60,Fmajor,64,Aminor
-67,-62,-59,-43,Gmajor,60,59,62,62,62,60,Cmajor,62,Gmajor
-67,-62,-59,-43,Gmajor,60,59,62,62,62,67,Cmajor,67,Cmajor
72,64,60,57,Aminor,64,60,64,64,64,62,Gmajor,66,Dmajor
71,62,57,55,Eminor,62,59,67,62,62,67,Cmajor,67,Gmajor
69,64,55,48,Aminor,60,60,64,64,64,67,Cmajor,67,Cmajor
67,59,55,53,Gmajor,60,59,62,59,59,1000,Fmajor,1000,Dminor
69,57,53,53,Fmajor,60,60,60,60,60,60,Fmajor,67,Ediminished
65,60,48,57,Fmajor,60,60,60,60,60,60,Fmajor,60,Fmajor
62,60,55,55,Cother,59,60,60,59,60,59,Cmajor,60,Cmajor
60,55,52,48,Cmajor,55,60,55,55,55
