original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,60,Cmajor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,60,Cmajor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Fmajor,60,Cmajor
55,52,48,48,Cmajor,50,60,52,52,52,59,Cmajor,55,Cmajor
60,57,52,45,Aminor,55,60,57,57,57,59,Gmajor,55,Cmajor
62,-60,55,43,Cother,59,60,60,59,60,55,Gmajor,55,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,55,Cmajor,57,Fmajor
62,59,55,43,Gmajor,59,59,59,59,59,59,Cmajor,60,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,60,Cmajor,55,Cmajor
-60,-55,-52,-36,Cmajor,55,60,55,55,55,60,Cmajor,55,Cmajor
-60,-55,-52,-36,Cmajor,55,60,55,55,55,57,Fmajor,57,Fmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Fmajor,60,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,59,Gmajor,59,Cmajor
65,60,57,41,Fmajor,60,60,60,60,60,59,Gmajor,60,Cmajor
64,62,55,43,Eminor,60,59,59,60,59,59,Cmajor,60,Cmajor
62,60,-55,31,Cother,59,60,60,59,60,60,Cmajor,60,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,60,Cother,60,Cother
-60,-55,-52,-36,Cmajor,55,60,55,55,55,62,Gmajor,55,Gmajor
-60,-55,-52,-36,Cmajor,55,60,55,55,55,60,Cmajor,57,Aminor
64,60,55,36,Cmajor,60,60,60,60,60,60,Cmajor,57,Fmajor
67,60,55,40,Cmajor,60,60,60,60,60,55,Gmajor,55,Cmajor
67,60,52,36,Cmajor,60,60,60,60,60,55,Gmajor,55,Cmajor
65,60,53,38,Dminor,60,57,62,60,60,55,Cmajor,57,Fmajor
64,60,55,40,Cmajor,60,60,60,60,60,59,Cmajor,60,Cmajor
62,60,55,43,Cother,59,60,60,59,60,60,Cmajor,60,Cmajor
-62,59,-55,-43,Gmajor,59,59,59,59,59,60,Cmajor,60,Cmajor
-62,-59,-55,-43,Gmajor,59,59,59,59,59,60,Fmajor,60,Cmajor
64,59,52,44,Emajor,60,59,59,59,59,59,Cmajor,55,Cmajor
60,59,52,45,Aminor,55,60,57,57,57,55,Gmajor,55,Gmajor
65,60,57,-45,Fmajor,60,60,60,60,60,55,Gmajor,55,Gmajor
64,62,55,48,Cmajor,60,60,60,60,60,55,Cmajor,55,Cmajor
62,60,-55,43,Cother,59,60,60,59,60,59,Cmajor,55,Cmajor
60,60,52,45,Aminor,55,60,57,57,57,60,Cmajor,55,Cmajor
-60,-60,52,-45,Aminor,55,60,57,57,57,59,Cmajor,55,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Fmajor,57,Fmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Fmajor,52,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,1000,Fmajor,1000,Dminor
65,60,53,45,Fmajor,60,60,60,60,60,60,Fmajor,67,Ediminished
64,60,55,43,Cmajor,60,60,60,60,60,60,Fmajor,60,Fmajor
62,-60,55,31,Cother,59,60,60,59,60,59,Cmajor,60,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55
