original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000
60,55,52,36,Cmajor,55,60,55,55,55
64,60,55,48,Cmajor,60,60,60,60,60
62,62,55,47,Gmajor,59,59,59,62,62
64,60,55,46,Cmajor,60,60,60,60,60
65,60,57,45,Fmajor,60,60,60,60,60
67,59,50,43,Gmajor,60,59,62,59,59
-67,62,55,47,Gmajor,60,59,62,62,62
64,60,55,48,Cmajor,60,60,60,60,60
69,60,53,41,Fmajor,60,60,60,60,60
67,60,55,40,Cmajor,60,60,60,60,60
65,-60,57,38,Dminor,60,57,62,62,62
64,60,55,36,Cmajor,60,60,60,60,60
62,-60,55,43,Cother,59,60,60,59,60
64,60,55,36,Cmajor,60,60,60,60,60
-64,-60,-55,-36,Cmajor,60,60,60,60,60
-64,-60,-55,-36,Cmajor,60,60,60,60,60
67,64,60,52,Cmajor,60,60,60,64,64
69,64,60,42,F#diminished,60,60,64,64,64
71,62,59,43,Gmajor,62,59,62,62,62
72,64,59,45,Aminor,64,60,64,64,64
71,64,55,52,Eminor,62,59,67,64,64
69,64,55,48,Aminor,60,60,64,64,64
-69,62,54,50,Dmajor,60,62,62,62,62
67,62,59,43,Gmajor,60,59,62,62,62
64,60,55,36,Cmajor,60,60,60,60,60
65,60,53,38,Dminor,60,57,62,60,60
64,60,55,40,Cmajor,60,60,60,60,60
62,60,57,41,Dminor,59,57,57,60,60
62,59,55,43,Gmajor,59,59,59,59,59
60,55,52,36,Cmajor,55,60,55,55,55
