original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi8,viterbi8_chords
60,55,52,48,Cmajor,55,60,55,55,55,55,Cmajor
60,52,55,52,Cmajor,55,60,55,60,60,55,Cmajor
60,55,52,48,Cmajor,55,60,55,55,55,55,Cmajor
55,55,52,48,Cmajor,50,60,52,55,55,60,Cmajor
60,57,52,45,Aminor,55,60,57,57,57,60,Cmajor
62,-60,57,41,Dminor,59,57,57,60,60,60,Cmajor
64,60,55,36,Cmajor,60,60,60,60,60,60,Cmajor
-64,-60,-55,-36,Cmajor,60,60,60,60,60,59,Gmajor
60,55,52,48,Cmajor,55,60,55,55,55,60,Cmajor
64,55,48,48,Cmajor,60,60,60,55,55,60,Cmajor
67,59,50,47,Gmajor,60,59,62,62,62,60,Cmajor
71,62,55,43,Gmajor,62,59,62,62,62,60,Cmajor
69,64,55,48,Aminor,60,60,64,64,64,60,Dminor
-69,57,54,50,Dmajor,60,62,62,62,62,59,Gmajor
67,59,50,43,Gmajor,60,59,62,59,59,60,Cmajor
-67,-59,-50,-43,Gmajor,60,59,62,59,59,60,Cmajor
60,55,52,48,Cmajor,55,60,55,55,55,60,Cmajor
60,52,55,52,Cmajor,55,60,55,60,60,62,Gmajor
60,55,52,48,Cmajor,55,60,55,55,55,60,Cmajor
55,55,52,48,Cmajor,50,60,52,55,55,55,Cmajor
60,57,52,45,Aminor,55,60,57,57,57,57,Dminor
62,-60,57,41,Dminor,59,57,57,60,60,59,Gmajor
64,60,55,36,Cmajor,60,60,60,60,60,59,Cmajor
-64,-60,-55,-36,Cmajor,60,60,60,60,60,60,Cmajor
60,55,52,48,Cmajor,55,60,55,55,55,60,Cmajor
64,55,48,48,Cmajor,60,60,60,55,55,60,Cmajor
67,59,50,47,Gmajor,60,59,62,62,62,60,Cmajor
71,62,55,43,Gmajor,62,59,62,62,62,60,Cmajor
69,64,55,48,Aminor,60,60,64,64,64,60,Cmajor
-69,57,54,50,Dmajor,60,62,62,62,62,60,Fmajor
67,59,50,43,Gmajor,60,59,62,59,59,60,Aminor
-67,-59,-50,-43,Gmajor,60,59,62,59,59,62,Dmajor
69,60,53,53,Fmajor,60,60,60,60,60,62,Gmajor
67,59,55,-53,Gmajor,60,59,62,59,59,62,Gmajor
65,62,57,50,Dminor,60,57,62,62,62,67,Gmajor
69,57,53,-50,Dminor,60,57,65,62,62,67,Aminor
67,62,50,46,Gminor,60,62,62,55,55,67,Aminor
65,62,53,-46,B-major,60,62,62,62,62,67,Gmajor
64,62,58,43,Ediminished,60,58,62,62,62,60,Cmajor
-64,61,52,45,Amajor,60,64,61,60,61,57,Fmajor
62,57,53,38,Dminor,59,57,57,57,57,55,Cmajor
-62,-57,-53,-38,Dminor,59,57,57,57,57,55,Cmajor
62,57,53,38,Dminor,59,57,57,57,57,55,Cmajor
61,57,52,45,Amajor,57,64,57,57,57,55,Cmajor
62,57,53,41,Dminor,59,57,57,57,57,57,Fmajor
64,57,52,38,Dother,60,62,62,57,57,50,Gmajor
65,57,52,38,Dminor,60,57,62,57,57,55,Cmajor
65,57,50,41,Dminor,60,57,62,57,57,55,Cmajor
64,57,50,45,Dother,60,62,62,57,57,57,Fmajor
-64,-57,49,-45,Amajor,60,64,61,57,57,62,Gmajor
60,57,52,45,Aminor,55,60,57,57,57,67,Gmajor
62,57,50,46,B-major,59,62,58,53,53,67,Aminor
64,55,48,46,Cmajor,60,60,60,55,55,67,Aminor
65,-60,50,50,Dminor,60,57,62,57,57,67,Gmajor
65,62,55,46,Gminor,60,62,62,62,62,60,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,57,Fmajor
65,60,57,41,Fmajor,60,60,60,60,60,55,Cmajor
-65,-60,-57,-41,Fmajor,60,60,60,60,60,55,Cmajor
67,60,55,40,Cmajor,60,60,60,60,60,55,Cmajor
-67,59,50,43,Gmajor,60,59,62,59,59,55,Cmajor
64,55,48,36,Cmajor,60,60,60,55,55,55,Cmajor
62,55,50,-48,Cother,59,60,60,55,55,55,Cmajor
60,57,52,45,Aminor,55,60,57,57,57,55,Gmajor
64,60,55,41,Cmajor,60,60,60,60,60,55,Gmajor
62,60,57,41,Dminor,59,57,57,60,60,55,Cmajor
-62,59,50,43,Gmajor,59,59,59,59,59,55,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55
