original_S,original_A,original_T,original_B,original_chord,simple1,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,-1000,-1000,-1000,1000,1000,1000,59,Cmajor,60,Cmajor
-1000,-1000,-1000,-1000,1000,1000,1000,60,Cmajor,60,Cmajor
-1000,-1000,-1000,-1000,1000,1000,1000,60,Cmajor,60,Cmajor
60,52,43,36,Cmajor,55,52,60,Cmajor,60,Cmajor
55,55,48,40,Cmajor,52,55,60,Dminor,55,Cmajor
57,50,47,42,Bminor,50,50,59,Gmajor,55,Cmajor
59,50,52,44,Emajor,56,59,55,Cmajor,57,Fmajor
60,48,52,45,Aminor,57,57,50,Gmajor,52,Cmajor
62,55,50,47,Gmajor,59,55,52,Cmajor,52,Cmajor
64,55,48,48,Cmajor,60,55,53,Fmajor,59,Bdiminished
60,53,45,41,Fmajor,57,53,55,Cmajor,55,Cmajor
64,55,48,48,Cmajor,60,55,52,Cmajor,53,Bdiminished
67,55,47,52,Eminor,59,55,60,Fmajor,53,Fmajor
67,55,50,48,Cother,62,55,60,Cmajor,55,Cmajor
64,55,48,48,Cmajor,60,55,60,Cmajor,55,Cmajor
67,57,52,49,Amajor,57,57,59,Gmajor,55,Gmajor
65,57,50,50,Dminor,62,57,55,Cmajor,55,Cmajor
-65,57,53,38,Dminor,62,60,60,Cmajor,55,Cmajor
64,60,57,45,Aminor,60,60,60,Cmajor,55,Cmajor
64,60,55,48,Cmajor,60,60,55,Gmajor,55,Gmajor
65,62,57,48,Dminor,62,62,59,Cmajor,60,Cmajor
64,60,-55,-47,Cmajor,60,60,60,Cmajor,60,Cmajor
62,59,-53,-45,Bdiminished,59,59,60,Cmajor,60,Cmajor
60,57,52,45,Aminor,57,57,60,Cmajor,60,Cmajor
64,57,48,36,Aminor,60,57,60,Cmajor,60,Cmajor
64,-57,47,40,Aother,57,57,60,Cmajor,62,Gmajor
60,52,45,33,Aminor,57,52,60,Cmajor,60,Cmajor
64,57,48,45,Aminor,60,57,60,Cmajor,60,Cmajor
67,55,50,47,Gmajor,62,62,60,Dminor,55,Cmajor
67,59,50,43,Gmajor,62,59,62,Gmajor,55,Gmajor
64,60,55,48,Cmajor,60,60,60,Cmajor,57,Aminor
67,-60,-55,40,Cmajor,60,60,60,Cmajor,57,Fmajor
65,60,57,38,Dminor,62,62,55,Cmajor,55,Cmajor
-65,59,50,43,Gmajor,62,59,60,Cmajor,55,Cmajor
64,60,55,36,Cmajor,60,60,60,Cmajor,55,Cmajor
64,60,55,48,Cmajor,60,60,55,Gmajor,55,Gmajor
65,60,57,48,Fmajor,60,60,59,Cmajor,60,Cmajor
64,60,52,-48,Cmajor,60,55,60,Cmajor,60,Cmajor
62,55,55,48,Cother,60,55,60,Cmajor,60,Cmajor
60,-55,-55,52,Cmajor,55,60,60,Cmajor,60,Cmajor
64,60,55,48,Cmajor,60,60,60,Cmajor,60,Cmajor
64,58,55,-36,Cmajor,60,60,60,Cmajor,62,Gmajor
60,57,53,41,Fmajor,57,57,60,Cmajor,60,Cmajor
62,55,50,35,Gmajor,59,55,60,Cmajor,60,Cmajor
64,55,48,36,Cmajor,60,55,60,Cmajor,55,Cmajor
64,57,48,48,Aminor,60,57,60,Cmajor,55,Gmajor
57,54,50,48,Dmajor,54,54,60,Fmajor,57,Aminor
59,55,50,45,Gmajor,55,55,60,Fmajor,57,Fmajor
60,57,50,42,Dmajor,57,57,57,Fmajor,55,Cmajor
57,-55,52,48,Aminor,55,55,60,Fmajor,55,Cmajor
55,55,47,43,Gmajor,50,50,59,Fmajor,55,Cmajor
55,50,47,43,Gmajor,50,50,60,Fmajor,55,Cmajor
60,55,43,40,Cmajor,55,55,52,Cmajor,55,Gmajor
62,55,50,36,Cother,60,55,53,Fmajor,55,Gmajor
64,55,48,36,Cmajor,60,55,52,Cmajor,52,Cmajor
-64,57,-48,41,Fmajor,60,57,55,Cmajor,55,Cmajor
65,57,50,41,Dminor,62,57,1000,Fmajor,1000,Dminor
64,60,52,45,Aminor,60,60,60,Fmajor,67,Ediminished
62,60,57,41,Dminor,57,60,60,Fmajor,60,Fmajor
-62,59,50,43,Gmajor,59,59,59,Cmajor,60,Cmajor
60,55,52,36,Cmajor
