original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords,simple2CHORD,simple3CHORD,simple1CHORD,simple7CHORD,simple6CHORD,viterbi4CHORD,viterbi8CHORD
Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,59,Cmajor,58,Gminor,Eother,Eother,Eother,Eother,Eother,Eother,Eother
Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,60,Cmajor,48,Aminor,Eother,Eother,Eother,Eother,Eother,Cmajor,Cmajor
Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,60,Aminor,64,Dminor,Eother,Eother,Eother,Eother,Eother,Cmajor,Eother
60,55,52,48,Cmajor,55,60,55,55,55,62,Dmajor,64,Aminor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,55,50,47,Gmajor,60,59,62,62,62,62,Gmajor,67,Aminor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
64,55,52,48,Cmajor,60,60,60,55,55,67,Cmajor,67,Gmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
60,57,52,45,Aminor,55,60,57,57,57,60,Fmajor,67,Cmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
67,60,52,40,Cmajor,60,60,60,60,60,55,Cmajor,55,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Eminor,Eminor
69,65,48,41,Fmajor,60,60,60,53,53,60,Fmajor,57,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
69,65,60,45,Fmajor,60,60,60,64,65,59,Gmajor,60,Cmajor,Aminor,Aminor,Aminor,Aminor,Fmajor,Aminor,Aminor
67,64,60,48,Cmajor,60,60,60,64,64,59,Cmajor,60,Cmajor,Cother,Cother,Cother,Cmajor,Cmajor,Cother,Cother
67,64,60,48,Cmajor,60,60,60,64,64,60,Cmajor,60,Cmajor,Cother,Cother,Cother,Cmajor,Cmajor,Cother,Cother
69,65,60,53,Fmajor,60,60,60,65,65,60,Cmajor,60,Cmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
71,65,62,52,Bdiminished,62,59,65,65,65,60,Fmajor,60,Cmajor,Eother,Eother,Bdiminished,Bdiminished,Bdiminished,Cmajor,Cmajor
72,67,60,52,Cmajor,64,60,67,67,67,59,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
71,67,59,55,Gmajor,62,59,62,62,62,60,Cmajor,60,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Cother
69,64,60,48,Aminor,60,60,64,64,64,60,Cmajor,60,Cmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
69,62,57,50,Dmajor,60,62,62,65,66,59,Gmajor,59,Gmajor,Dother,Dother,Dother,Dminor,Dmajor,Bminor,Bminor
67,62,59,43,Gmajor,60,59,62,62,62,59,Cmajor,60,Cmajor,Cother,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Cother
64,60,55,48,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
69,60,48,41,Fmajor,60,60,60,53,53,60,Cmajor,60,Cmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
67,59,52,43,Eminor,60,59,59,59,59,60,Cmajor,60,Cmajor,Cmajor,Eminor,Eminor,Eminor,Eminor,Cmajor,Cmajor
65,60,52,45,Fmajor,60,60,60,60,60,60,Dminor,60,Cmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
64,55,52,48,Cmajor,60,60,60,55,55,62,Gmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
62,60,50,43,Cother,59,60,60,59,60,60,Cmajor,60,Cmajor,Gmajor,Cother,Cother,Gmajor,Cother,Cother,Cother
-62,59,53,-43,Gmajor,59,59,59,59,59,60,Cmajor,60,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Dminor,Dminor
60,55,52,36,Cmajor,55,60,55,55,55,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
60,55,52,48,Cmajor,55,60,55,55,55,60,Cmajor,55,Gmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,55,50,47,Gmajor,60,59,62,62,62,60,Cmajor,57,Aminor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
64,55,52,48,Cmajor,60,60,60,55,55,55,Cmajor,55,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
60,57,52,45,Aminor,55,60,57,57,57,60,Fmajor,57,Fmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
67,60,52,40,Cmajor,60,60,60,60,60,59,Gmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Eminor,Cmajor
69,65,48,41,Fmajor,60,60,60,53,53,59,Cmajor,60,Cmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
69,65,60,45,Fmajor,60,60,60,64,65,60,Cmajor,60,Cmajor,Aminor,Aminor,Aminor,Aminor,Fmajor,Aminor,Aminor
67,64,60,48,Cmajor,60,60,60,64,64,60,Aminor,60,Cmajor,Cother,Cother,Cother,Cmajor,Cmajor,Cother,Cother
67,64,60,48,Cmajor,60,60,60,64,64,62,Dmajor,60,Cmajor,Cother,Cother,Cother,Cmajor,Cmajor,Cother,Cother
69,65,60,53,Fmajor,60,60,60,65,65,62,Gmajor,60,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Dminor,Fmajor
71,65,62,52,Bdiminished,62,59,65,65,65,60,Cmajor,60,Cmajor,Eother,Eother,Bdiminished,Bdiminished,Bdiminished,Cmajor,Cmajor
72,67,60,52,Cmajor,64,60,67,67,67,60,Cmajor,67,Gmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
71,67,59,55,Gmajor,62,59,62,62,62,62,Gmajor,67,Aminor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
69,64,60,48,Aminor,60,60,64,64,64,62,Gmajor,67,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Dother,Aminor
69,62,57,50,Dmajor,60,62,62,65,66,67,Cmajor,67,Gmajor,Dother,Dother,Dother,Dminor,Dmajor,Gother,Gother
67,62,59,43,Gmajor,60,59,62,62,62,67,Cmajor,64,Cmajor,Cother,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Eminor
64,60,55,48,Cmajor,60,60,60,60,60,67,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
69,60,48,41,Fmajor,60,60,60,53,53,60,Fmajor,60,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
67,59,52,43,Eminor,60,59,59,59,59,60,Cmajor,60,Cmajor,Cmajor,Eminor,Eminor,Eminor,Eminor,Cmajor,Cmajor
65,60,52,45,Fmajor,60,60,60,60,60,60,Cmajor,60,Cmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
64,55,52,48,Cmajor,60,60,60,55,55,62,Gmajor,60,Fmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
62,60,50,43,Cother,59,60,60,59,60,62,Gmajor,60,Fmajor,Gmajor,Cother,Cother,Gmajor,Cother,Gother,Cother
-62,59,53,-43,Gmajor,59,59,59,59,59,62,Gmajor,55,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gother,Gother
60,55,52,36,Cmajor,55,60,55,55,55,55,Cmajor,57,Fmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Aminor
-60,-55,-52,-36,Cmajor,55,60,55,55,55,60,Cmajor,55,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,62,55,47,Gmajor,60,59,62,62,62,60,Cmajor,55,Gmajor,Cother,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Gmajor
-67,-62,-55,-47,Gmajor,60,59,62,62,62,55,Cmajor,55,Cmajor,Cother,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
64,60,55,48,Cmajor,60,60,60,60,60,60,Fmajor,57,Fmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Aminor
-64,-60,-55,-48,Cmajor,60,60,60,60,60,59,Gmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,60,55,43,Cother,60,60,62,59,60,59,Cmajor,60,Cmajor,Cother,Cother,Gother,Gmajor,Cother,Gmajor,Cother
-67,59,-55,-43,Gmajor,60,59,62,59,59,60,Cmajor,60,Cmajor,Cother,Gmajor,Gother,Gmajor,Gmajor,Cother,Cother
64,60,55,48,Cmajor,60,60,60,60,60,60,Aminor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
-64,-60,-55,-48,Cmajor,60,60,60,60,60,62,Dmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,62,Gmajor,60,Fmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
64,60,55,52,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Cmajor,67,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Gother
62,59,55,47,Gmajor,59,59,59,62,62,62,Gmajor,67,Aminor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
64,60,55,48,Cmajor,60,60,60,60,60,62,Gmajor,67,Aminor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
